Date_Time,KSJC,KNUQ
2017-01-01 15:53:00,46.88,
2017-01-01 15:55:00,46.88,46.88
2017-01-01 16:00:00,46.88,43.61
2017-01-01 16:05:00,50.08,43.61
2017-01-01 16:10:00,46.88,46.59
2017-01-01 16:15:00,46.88,50.08
2017-01-01 16:20:00,50.08,46.59
2017-01-01 16:25:00,50.08,50.08
2017-01-01 16:30:00,46.59,50.08
2017-01-01 16:35:00,46.59,53.53
2017-01-01 16:40:00,46.59,53.53
2017-01-01 16:45:00,50.08,53.53
2017-01-01 16:50:00,53.53,53.53
2017-01-01 16:53:00,53.53,
2017-01-01 16:55:00,53.53,57.52
2017-01-01 17:00:00,53.53,57.52
2017-01-01 17:05:00,53.53,57.52
2017-01-01 17:10:00,53.53,57.52
2017-01-01 17:15:00,53.53,57.52
2017-01-01 17:20:00,53.53,61.51
2017-01-01 17:25:00,57.25,61.51
2017-01-01 17:30:00,57.25,61.51
2017-01-01 17:35:00,57.25,57.25
2017-01-01 17:40:00,57.25,57.25
2017-01-01 17:45:00,57.25,57.25
2017-01-01 17:50:00,57.25,57.25
2017-01-01 17:53:00,57.25,
2017-01-01 17:55:00,57.25,57.25
2017-01-01 18:00:00,57.25,57.25
2017-01-01 18:05:00,57.25,57.25
2017-01-01 18:10:00,57.25,57.25
2017-01-01 18:15:00,57.25,57.25
2017-01-01 18:20:00,57.25,61.51
2017-01-01 18:25:00,57.25,61.51
2017-01-01 18:30:00,57.25,61.51
2017-01-01 18:35:00,61.27,61.51
2017-01-01 18:40:00,61.27,61.51
2017-01-01 18:45:00,57.25,61.51
2017-01-01 18:50:00,57.25,61.51
2017-01-01 18:53:00,57.25,
2017-01-01 18:55:00,57.25,61.51
2017-01-01 19:00:00,57.25,61.51
2017-01-01 19:05:00,61.27,61.51
2017-01-01 19:10:00,61.27,65.82
2017-01-01 19:15:00,61.27,65.82
2017-01-01 19:20:00,61.27,65.82
2017-01-01 19:25:00,61.27,65.82
2017-01-01 19:30:00,61.27,65.82
2017-01-01 19:35:00,61.27,65.82
2017-01-01 19:40:00,61.27,65.82
2017-01-01 19:45:00,61.27,65.82
2017-01-01 19:50:00,65.6,65.82
2017-01-01 19:53:00,61.27,
2017-01-01 19:55:00,61.27,65.82
2017-01-01 20:00:00,61.27,65.82
2017-01-01 20:05:00,61.27,65.82
2017-01-01 20:10:00,61.27,70.68
2017-01-01 20:15:00,61.27,70.68
2017-01-01 20:20:00,65.82,70.68
2017-01-01 20:25:00,65.82,70.68
2017-01-01 20:30:00,65.82,70.68
2017-01-01 20:35:00,65.82,70.68
2017-01-01 20:40:00,65.82,70.68
2017-01-01 20:45:00,61.51,70.68
2017-01-01 20:50:00,61.51,75.84
2017-01-01 20:53:00,61.51,
2017-01-01 20:55:00,61.51,75.84
2017-01-01 21:00:00,66.05,75.84
2017-01-01 21:05:00,66.05,75.84
2017-01-01 21:10:00,66.05,75.84
2017-01-01 21:15:00,66.05,75.84
2017-01-01 21:20:00,70.68,81.34
2017-01-01 21:25:00,70.68,81.34
2017-01-01 21:30:00,70.68,81.34
2017-01-01 21:35:00,70.68,81.34
2017-01-01 21:40:00,70.68,81.34
2017-01-01 21:45:00,70.68,75.84
2017-01-01 21:50:00,70.68,75.84
2017-01-01 21:53:00,70.68,
2017-01-01 21:55:00,70.68,75.84
2017-01-01 22:00:00,70.68,81.2
2017-01-01 22:05:00,70.68,75.84
2017-01-01 22:10:00,70.68,81.34
2017-01-01 22:15:00,70.68,81.34
2017-01-01 22:20:00,75.84,81.34
2017-01-01 22:25:00,75.84,75.84
2017-01-01 22:30:00,75.84,75.84
